Métamodèle 1	Élément 1	Description Élément 1	Métamodèle 2	Élément 2	Description Élément 2	Correspondance
Python	Attribute	A variable associated with a class	YAML	Sequence	A list of items in YAML	0
Python	Method	A function defined within a class	YAML	Document	A YAML document	0
Python	Method	A function defined within a class	YAML	Key	A key in a YAML mapping	0
Python	Method	A function defined within a class	YAML	Value	A value associated with a key	0
Python	Method	A function defined within a class	YAML	Section	A section within a YAML document	0
Python	Method	A function defined within a class	YAML	Sequence	A list of items in YAML	0
Python	Module	A file containing Python code	YAML	Document	A YAML document	1
Python	Module	A file containing Python code	YAML	Key	A key in a YAML mapping	0
Python	Module	A file containing Python code	YAML	Value	A value associated with a key	0
Python	Module	A file containing Python code	YAML	Section	A section within a YAML document	0
Python	Module	A file containing Python code	YAML	Sequence	A list of items in YAML	0
Python	List	A collection of items	YAML	Sequence	A list of items in YAML	1
Python	List	A collection of items	YAML	Document	A YAML document	0
Python	List	A collection of items	YAML	Key	A key in a YAML mapping	0
Python	List	A collection of items	YAML	Value	A value associated with a key	0
Python	List	A collection of items	YAML	Section	A section within a YAML document	0
C++	Class	A blueprint for creating objects	JSON	Object	A collection of key-value pairs	1
C++	Class	A blueprint for creating objects	JSON	Property	A key-value pair within an object	0
C++	Class	A blueprint for creating objects	JSON	Function	A function defined within JSON	0
C++	Class	A blueprint for creating objects	JSON	Module	A reusable piece of JSON code	0
C++	Class	A blueprint for creating objects	JSON	Array	A list of elements in JSON	0
C++	Member	A variable associated with a class	JSON	Object	A collection of key-value pairs	0
C++	Member	A variable associated with a class	JSON	Property	A key-value pair within an object	1
C++	Member	A variable associated with a class	JSON	Function	A function defined within JSON	0
C++	Member	A variable associated with a class	JSON	Module	A reusable piece of JSON code	0
C++	Member	A variable associated with a class	JSON	Array	A list of elements in JSON	0
C++	Method	A function defined within a class	JSON	Object	A collection of key-value pairs	0
C++	Method	A function defined within a class	JSON	Property	A key-value pair within an object	0
C++	Method	A function defined within a class	JSON	Function	A function defined within JSON	1
C++	Method	A function defined within a class	JSON	Module	A reusable piece of JSON code	0
C++	Method	A function defined within a class	JSON	Array	A list of elements in JSON	0
C++	Header File	A file containing C++ declarations	JSON	Module	A reusable piece of JSON code	1
C++	Header File	A file containing C++ declarations	JSON	Object	A collection of key-value pairs	0
C++	Header File	A file containing C++ declarations	JSON	Property	A key-value pair within an object	0
C++	Header File	A file containing C++ declarations	JSON	Function	A function defined within JSON	0
C++	Header File	A file containing C++ declarations	JSON	Array	A list of elements in JSON	0
C++	Vector	A dynamic array	JSON	Array	A list of elements in JSON	1
C++	Vector	A dynamic array	JSON	Object	A collection of key-value pairs	0
C++	Vector	A dynamic array	JSON	Property	A key-value pair within an object	0
C++	Vector	A dynamic array	JSON	Function	A function defined within JSON	0
C++	Vector	A dynamic array	JSON	Module	A reusable piece of JSON code	0
Software Engineering	Requirement	A condition that must be met	DevOps	Continuous Integration	Integrating code changes continuously	1
Software Engineering	Requirement	A condition that must be met	DevOps	Continuous Delivery	Delivering software updates continuously	0
Software Engineering	Requirement	A condition that must be met	DevOps	Infrastructure as Code	Managing infrastructure with code	0
Software Engineering	Requirement	A condition that must be met	DevOps	Automated Testing	Automatically testing code	0
Software Engineering	Requirement	A condition that must be met	DevOps	Monitoring	Monitoring the system for issues	0
Software Engineering	Design	Creating architecture and components	DevOps	Continuous Integration	Integrating code changes continuously	0
Software Engineering	Design	Creating architecture and components	DevOps	Continuous Delivery	Delivering software updates continuously	0
Software Engineering	Design	Creating architecture and components	DevOps	Infrastructure as Code	Managing infrastructure with code	0
Software Engineering	Design	Creating architecture and components	DevOps	Automated Testing	Automatically testing code	0
Software Engineering	Design	Creating architecture and components	DevOps	Monitoring	Monitoring the system for issues	0
Software Engineering	Implementation	Writing and coding the software	DevOps	Continuous Integration	Integrating code changes continuously	0
Software Engineering	Implementation	Writing and coding the software	DevOps	Continuous Delivery	Delivering software updates continuously	0
Software Engineering	Implementation	Writing and coding the software	DevOps	Infrastructure as Code	Managing infrastructure with code	0
Software Engineering	Implementation	Writing and coding the software	DevOps	Automated Testing	Automatically testing code	0
Software Engineering	Implementation	Writing and coding the software	DevOps	Monitoring	Monitoring the system for issues	0
Software Engineering	Testing	Validating the software	DevOps	Continuous Integration	Integrating code changes continuously	0
Software Engineering	Testing	Validating the software	DevOps	Continuous Delivery	Delivering software updates continuously	0
Software Engineering	Testing	Validating the software	DevOps	Infrastructure as Code	Managing infrastructure with code	0
Software Engineering	Testing	Validating the software	DevOps	Automated Testing	Automatically testing code	1
Software Engineering	Testing	Validating the software	DevOps	Monitoring	Monitoring the system for issues	0
Software Engineering	Maintenance	Updating and fixing the software	DevOps	Continuous Integration	Integrating code changes continuously	0
Software Engineering	Maintenance	Updating and fixing the software	DevOps	Continuous Delivery	Delivering software updates continuously	0
Software Engineering	Maintenance	Updating and fixing the software	DevOps	Infrastructure as Code	Managing infrastructure with code	0
Software Engineering	Maintenance	Updating and fixing the software	DevOps	Automated Testing	Automatically testing code	0
Software Engineering	Maintenance	Updating and fixing the software	DevOps	Monitoring	Monitoring the system for issues	1
Machine Learning	Model	A mathematical representation of a problem	Data Science	Data	Raw information to be processed	1
Machine Learning	Model	A mathematical representation of a problem	Data Science	Data Cleaning	Preparing data for analysis	0
Machine Learning	Model	A mathematical representation of a problem	Data Science	Data Analysis	Examining data to draw conclusions	0
Machine Learning	Model	A mathematical representation of a problem	Data Science	Data Visualization	Graphically representing data	0
Machine Learning	Model	A mathematical representation of a problem	Data Science	Reporting	Communicating insights	0
Machine Learning	Training	The process of teaching the model	Data Science	Data	Raw information to be processed	0
Machine Learning	Training	The process of teaching the model	Data Science	Data Cleaning	Preparing data for analysis	1
Machine Learning	Training	The process of teaching the model	Data Science	Data Analysis	Examining data to draw conclusions	0
Machine Learning	Training	The process of teaching the model	Data Science	Data Visualization	Graphically representing data	0
Machine Learning	Training	The process of teaching the model	Data Science	Reporting	Communicating insights	0
Machine Learning	Validation	Testing the model's accuracy	Data Science	Data	Raw information to be processed	0
Machine Learning	Validation	Testing the model's accuracy	Data Science	Data Cleaning	Preparing data for analysis	0
Machine Learning	Validation	Testing the model's accuracy	Data Science	Data Analysis	Examining data to draw conclusions	0
Machine Learning	Validation	Testing the model's accuracy	Data Science	Data Visualization	Graphically representing data	0
Machine Learning	Validation	Testing the model's accuracy	Data Science	Reporting	Communicating insights	0
Machine Learning	Feature Engineering	Creating input features for the model	Data Science	Data	Raw information to be processed	0
Machine Learning	Feature Engineering	Creating input features for the model	Data Science	Data Cleaning	Preparing data for analysis	0
Machine Learning	Feature Engineering	Creating input features for the model	Data Science	Data Analysis	Examining data to draw conclusions	0
Machine Learning	Feature Engineering	Creating input features for the model	Data Science	Data Visualization	Graphically representing data	0
Machine Learning	Feature Engineering	Creating input features for the model	Data Science	Reporting	Communicating insights	0
Machine Learning	Deployment	Implementing the model in production	Data Science	Data	Raw information to be processed	0
Machine Learning	Deployment	Implementing the model in production	Data Science	Data Cleaning	Preparing data for analysis	0
Machine Learning	Deployment	Implementing the model in production	Data Science	Data Analysis	Examining data to draw conclusions	0
Machine Learning	Deployment	Implementing the model in production	Data Science	Data Visualization	Graphically representing data	0
Machine Learning	Deployment	Implementing the model in production	Data Science	Reporting	Communicating insights	0
Cybersecurity	Threat	A potential cause of harm	Network Security	Firewall	A network security system	1
Cybersecurity	Threat	A potential cause of harm	Network Security	Intrusion Detection	Identifying unauthorized access	0
Cybersecurity	Threat	A potential cause of harm	Network Security	VPN	A secure connection over the internet	0
Cybersecurity	Threat	A potential cause of harm	Network Security	Access Control	Restricting access to network resources	0
Cybersecurity	Threat	A potential cause of harm	Network Security	Network Monitoring	Observing network activity	0
Cybersecurity	Vulnerability	A weakness that can be exploited	Network Security	Firewall	A network security system	0
Cybersecurity	Vulnerability	A weakness that can be exploited	Network Security	Intrusion Detection	Identifying unauthorized access	0
Cybersecurity	Vulnerability	A weakness that can be exploited	Network Security	VPN	A secure connection over the internet	0
Cybersecurity	Vulnerability	A weakness that can be exploited	Network Security	Access Control	Restricting access to network resources	0
Cybersecurity	Vulnerability	A weakness that can be exploited	Network Security	Network Monitoring	Observing network activity	0
Cybersecurity	Risk	The potential for loss or damage	Network Security	Firewall	A network security system	0
Cybersecurity	Risk	The potential for loss or damage	Network Security	Intrusion Detection	Identifying unauthorized access	0
Cybersecurity	Risk	The potential for loss or damage	Network Security	VPN	A secure connection over the internet	0
Cybersecurity	Risk	The potential for loss or damage	Network Security	Access Control	Restricting access to network resources	0
Cybersecurity	Risk	The potential for loss or damage	Network Security	Network Monitoring	Observing network activity	0
Cybersecurity	Mitigation	Actions to reduce risk	Network Security	Firewall	A network security system	0
Cybersecurity	Mitigation	Actions to reduce risk	Network Security	Intrusion Detection	Identifying unauthorized access	0
Cybersecurity	Mitigation	Actions to reduce risk	Network Security	VPN	A secure connection over the internet	0
Cybersecurity	Mitigation	Actions to reduce risk	Network Security	Access Control	Restricting access to network resources	0
Cybersecurity	Mitigation	Actions to reduce risk	Network Security	Network Monitoring	Observing network activity	0
Cybersecurity	Incident Response	Handling security breaches	Network Security	Firewall	A network security system	0
Cybersecurity	Incident Response	Handling security breaches	Network Security	Intrusion Detection	Identifying unauthorized access	0
Cybersecurity	Incident Response	Handling security breaches	Network Security	VPN	A secure connection over the internet	0
Cybersecurity	Incident Response	Handling security breaches	Network Security	Access Control	Restricting access to network resources	0
Cybersecurity	Incident Response	Handling security breaches	Network Security	Network Monitoring	Observing network activity	0
Energy Management	Energy Source	A source of energy	Smart Grids	Smart Meter	A device that records energy consumption	1
Energy Management	Energy Source	A source of energy	Smart Grids	Grid Management	Systems that control the distribution of energy	0
Energy Management	Energy Source	A source of energy	Smart Grids	Renewable Energy	Energy from renewable sources	0
Energy Management	Energy Source	A source of energy	Smart Grids	Demand Response	Adjusting the demand for energy	0
Energy Management	Energy Source	A source of energy	Smart Grids	Microgrid	A localized grid that can disconnect from the traditional grid	0
Energy Management	Energy Storage	Systems that store energy	Smart Grids	Smart Meter	A device that records energy consumption	0
Energy Management	Energy Storage	Systems that store energy	Smart Grids	Grid Management	Systems that control the distribution of energy	0
Energy Management	Energy Storage	Systems that store energy	Smart Grids	Renewable Energy	Energy from renewable sources	0
Energy Management	Energy Storage	Systems that store energy	Smart Grids	Demand Response	Adjusting the demand for energy	0
Energy Management	Energy Storage	Systems that store energy	Smart Grids	Microgrid	A localized grid that can disconnect from the traditional grid	0
Energy Management	Energy Distribution	The delivery of energy to consumers	Smart Grids	Smart Meter	A device that records energy consumption	0
Energy Management	Energy Distribution	The delivery of energy to consumers	Smart Grids	Grid Management	Systems that control the distribution of energy	0
Energy Management	Energy Distribution	The delivery of energy to consumers	Smart Grids	Renewable Energy	Energy from renewable sources	0
Energy Management	Energy Distribution	The delivery of energy to consumers	Smart Grids	Demand Response	Adjusting the demand for energy	0
Energy Management	Energy Distribution	The delivery of energy to consumers	Smart Grids	Microgrid	A localized grid that can disconnect from the traditional grid	0
Energy Management	Energy Consumption	The use of energy by consumers	Smart Grids	Smart Meter	A device that records energy consumption	0
Energy Management	Energy Consumption	The use of energy by consumers	Smart Grids	Grid Management	Systems that control the distribution of energy	0
Energy Management	Energy Consumption	The use of energy by consumers	Smart Grids	Renewable Energy	Energy from renewable sources	0
Energy Management	Energy Consumption	The use of energy by consumers	Smart Grids	Demand Response	Adjusting the demand for energy	0
Energy Management	Energy Consumption	The use of energy by consumers	Smart Grids	Microgrid	A localized grid that can disconnect from the traditional grid	0
Energy Management	Energy Efficiency	Using less energy to perform the same task	Smart Grids	Smart Meter	A device that records energy consumption	0
Energy Management	Energy Efficiency	Using less energy to perform the same task	Smart Grids	Grid Management	Systems that control the distribution of energy	0
Energy Management	Energy Efficiency	Using less energy to perform the same task	Smart Grids	Renewable Energy	Energy from renewable sources	0
Energy Management	Energy Efficiency	Using less energy to perform the same task	Smart Grids	Demand Response	Adjusting the demand for energy	0
Energy Management	Energy Efficiency	Using less energy to perform the same task	Smart Grids	Microgrid	A localized grid that can disconnect from the traditional grid	0
TOGAF	Architecture Vision	A high-level overview of the architecture	Zachman Framework	Contextual	Defines the scope and context	1
TOGAF	Architecture Vision	A high-level overview of the architecture	Zachman Framework	Conceptual	High-level business concepts	0
TOGAF	Architecture Vision	A high-level overview of the architecture	Zachman Framework	Logical	Logical view of data and systems	0
TOGAF	Architecture Vision	A high-level overview of the architecture	Zachman Framework	Physical	Physical implementation details	0
TOGAF	Architecture Vision	A high-level overview of the architecture	Zachman Framework	As-built	Realized implementation	0
TOGAF	Business Architecture	Defines business processes and structure	Zachman Framework	Contextual	Defines the scope and context	0
TOGAF	Business Architecture	Defines business processes and structure	Zachman Framework	Conceptual	High-level business concepts	1
TOGAF	Business Architecture	Defines business processes and structure	Zachman Framework	Logical	Logical view of data and systems	0
TOGAF	Business Architecture	Defines business processes and structure	Zachman Framework	Physical	Physical implementation details	0
TOGAF	Business Architecture	Defines business processes and structure	Zachman Framework	As-built	Realized implementation	0
TOGAF	Information Systems	Defines information systems architecture	Zachman Framework	Contextual	Defines the scope and context	0
TOGAF	Information Systems	Defines information systems architecture	Zachman Framework	Conceptual	High-level business concepts	0
TOGAF	Information Systems	Defines information systems architecture	Zachman Framework	Logical	Logical view of data and systems	1
TOGAF	Information Systems	Defines information systems architecture	Zachman Framework	Physical	Physical implementation details	0
TOGAF	Information Systems	Defines information systems architecture	Zachman Framework	As-built	Realized implementation	0
TOGAF	Technology Architecture	Defines technology infrastructure	Zachman Framework	Contextual	Defines the scope and context	0
TOGAF	Technology Architecture	Defines technology infrastructure	Zachman Framework	Conceptual	High-level business concepts	0
TOGAF	Technology Architecture	Defines technology infrastructure	Zachman Framework	Logical	Logical view of data and systems	0
TOGAF	Technology Architecture	Defines technology infrastructure	Zachman Framework	Physical	Physical implementation details	1
TOGAF	Technology Architecture	Defines technology infrastructure	Zachman Framework	As-built	Realized implementation	0
TOGAF	Opportunities and Solutions	Defines solutions to meet architecture goals	Zachman Framework	Contextual	Defines the scope and context	0
TOGAF	Opportunities and Solutions	Defines solutions to meet architecture goals	Zachman Framework	Conceptual	High-level business concepts	0
TOGAF	Opportunities and Solutions	Defines solutions to meet architecture goals	Zachman Framework	Logical	Logical view of data and systems	0
TOGAF	Opportunities and Solutions	Defines solutions to meet architecture goals	Zachman Framework	Physical	Physical implementation details	0
TOGAF	Opportunities and Solutions	Defines solutions to meet architecture goals	Zachman Framework	As-built	Realized implementation	1
TOGAF ADM	Phase	A phase in the ADM cycle	ArchiMate	Layer	A layer in the architecture	1
TOGAF ADM	Phase	A phase in the ADM cycle	ArchiMate	Artifact	A tangible output in a layer	0
TOGAF ADM	Phase	A phase in the ADM cycle	ArchiMate	Behavior	Actions within a layer	0
TOGAF ADM	Phase	A phase in the ADM cycle	ArchiMate	Junction	A decision point	0
TOGAF ADM	Phase	A phase in the ADM cycle	ArchiMate	Driver	A motivation factor	0
TOGAF ADM	Deliverable	A specific output from a phase	ArchiMate	Layer	A layer in the architecture	0
TOGAF ADM	Deliverable	A specific output from a phase	ArchiMate	Artifact	A tangible output in a layer	1
TOGAF ADM	Deliverable	A specific output from a phase	ArchiMate	Behavior	Actions within a layer	0
TOGAF ADM	Deliverable	A specific output from a phase	ArchiMate	Junction	A decision point	0
TOGAF ADM	Deliverable	A specific output from a phase	ArchiMate	Driver	A motivation factor	0
TOGAF ADM	Activity	An action taken during a phase	ArchiMate	Layer	A layer in the architecture	0
TOGAF ADM	Activity	An action taken during a phase	ArchiMate	Artifact	A tangible output in a layer	0
TOGAF ADM	Activity	An action taken during a phase	ArchiMate	Behavior	Actions within a layer	1
TOGAF ADM	Activity	An action taken during a phase	ArchiMate	Junction	A decision point	0
TOGAF ADM	Activity	An action taken during a phase	ArchiMate	Driver	A motivation factor	0
TOGAF ADM	Milestone	A significant point in the project	ArchiMate	Layer	A layer in the architecture	0
TOGAF ADM	Milestone	A significant point in the project	ArchiMate	Artifact	A tangible output in a layer	0
TOGAF ADM	Milestone	A significant point in the project	ArchiMate	Behavior	Actions within a layer	0
TOGAF ADM	Milestone	A significant point in the project	ArchiMate	Junction	A decision point	1
TOGAF ADM	Milestone	A significant point in the project	ArchiMate	Driver	A motivation factor	0
TOGAF ADM	Requirement	A condition to be met	ArchiMate	Layer	A layer in the architecture	0
TOGAF ADM	Requirement	A condition to be met	ArchiMate	Artifact	A tangible output in a layer	0
TOGAF ADM	Requirement	A condition to be met	ArchiMate	Behavior	Actions within a layer	0
TOGAF ADM	Requirement	A condition to be met	ArchiMate	Junction	A decision point	0
TOGAF ADM	Requirement	A condition to be met	ArchiMate	Driver	A motivation factor	1
ArchiMate	Business Actor	An entity that has a role in a business	TOGAF	Role	A set of responsibilities and tasks	1
ArchiMate	Business Actor	An entity that has a role in a business	TOGAF	Application	A software solution or component	0
ArchiMate	Business Actor	An entity that has a role in a business	TOGAF	Technology	The technological components used	0
ArchiMate	Business Actor	An entity that has a role in a business	TOGAF	Business Function	A group of related business activities	0
ArchiMate	Business Actor	An entity that has a role in a business	TOGAF	Data Entity	A representation of data in the system	0
ArchiMate	Application Component	A software component in the architecture	TOGAF	Role	A set of responsibilities and tasks	0
ArchiMate	Application Component	A software component in the architecture	TOGAF	Application	A software solution or component	1
ArchiMate	Application Component	A software component in the architecture	TOGAF	Technology	The technological components used	0
ArchiMate	Application Component	A software component in the architecture	TOGAF	Business Function	A group of related business activities	0
ArchiMate	Application Component	A software component in the architecture	TOGAF	Data Entity	A representation of data in the system	0
ArchiMate	Technology Node	A physical or virtual IT infrastructure	TOGAF	Role	A set of responsibilities and tasks	0
ArchiMate	Technology Node	A physical or virtual IT infrastructure	TOGAF	Application	A software solution or component	0
ArchiMate	Technology Node	A physical or virtual IT infrastructure	TOGAF	Technology	The technological components used	1
ArchiMate	Technology Node	A physical or virtual IT infrastructure	TOGAF	Business Function	A group of related business activities	0
ArchiMate	Technology Node	A physical or virtual IT infrastructure	TOGAF	Data Entity	A representation of data in the system	0
ArchiMate	Business Process	A sequence of business activities	TOGAF	Role	A set of responsibilities and tasks	0
ArchiMate	Business Process	A sequence of business activities	TOGAF	Application	A software solution or component	0
ArchiMate	Business Process	A sequence of business activities	TOGAF	Technology	The technological components used	0
ArchiMate	Business Process	A sequence of business activities	TOGAF	Business Function	A group of related business activities	1
ArchiMate	Business Process	A sequence of business activities	TOGAF	Data Entity	A representation of data in the system	0
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Role	A set of responsibilities and tasks	0
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Application	A software solution or component	0
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Technology	The technological components used	0
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Business Function	A group of related business activities	0
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Data Entity	A representation of data in the system	1
UML Sequence Diagram	Lifeline	Represents an object involved in the sequence	BPMN	Pool	A major participant in the process	1
UML Sequence Diagram	Lifeline	Represents an object involved in the sequence	BPMN	Message Flow	The flow of messages between pools	0
UML Sequence Diagram	Lifeline	Represents an object involved in the sequence	BPMN	Activity	A task or work item	0
UML Sequence Diagram	Lifeline	Represents an object involved in the sequence	BPMN	Gateway	A decision point	0
UML Sequence Diagram	Lifeline	Represents an object involved in the sequence	BPMN	Task	A unit of work	0
UML Sequence Diagram	Message	A communication between lifelines	BPMN	Pool	A major participant in the process	0
UML Sequence Diagram	Message	A communication between lifelines	BPMN	Message Flow	The flow of messages between pools	1
UML Sequence Diagram	Message	A communication between lifelines	BPMN	Activity	A task or work item	0
UML Sequence Diagram	Message	A communication between lifelines	BPMN	Gateway	A decision point	0
UML Sequence Diagram	Message	A communication between lifelines	BPMN	Task	A unit of work	0
UML Sequence Diagram	Interaction Fragment	A piece of interaction	BPMN	Pool	A major participant in the process	0
UML Sequence Diagram	Interaction Fragment	A piece of interaction	BPMN	Message Flow	The flow of messages between pools	0
UML Sequence Diagram	Interaction Fragment	A piece of interaction	BPMN	Activity	A task or work item	1
UML Sequence Diagram	Interaction Fragment	A piece of interaction	BPMN	Gateway	A decision point	0
UML Sequence Diagram	Interaction Fragment	A piece of interaction	BPMN	Task	A unit of work	0
UML Sequence Diagram	Combined Fragment	A group of interaction fragments	BPMN	Pool	A major participant in the process	0
UML Sequence Diagram	Combined Fragment	A group of interaction fragments	BPMN	Message Flow	The flow of messages between pools	0
UML Sequence Diagram	Combined Fragment	A group of interaction fragments	BPMN	Activity	A task or work item	0
UML Sequence Diagram	Combined Fragment	A group of interaction fragments	BPMN	Gateway	A decision point	1
UML Sequence Diagram	Combined Fragment	A group of interaction fragments	BPMN	Task	A unit of work	0
UML Sequence Diagram	Execution Occurrence	The execution of an interaction	BPMN	Pool	A major participant in the process	0
UML Sequence Diagram	Execution Occurrence	The execution of an interaction	BPMN	Message Flow	The flow of messages between pools	0
UML Sequence Diagram	Execution Occurrence	The execution of an interaction	BPMN	Activity	A task or work item	0
UML Sequence Diagram	Execution Occurrence	The execution of an interaction	BPMN	Gateway	A decision point	0
UML Sequence Diagram	Execution Occurrence	The execution of an interaction	BPMN	Task	A unit of work	1
BPMN	Task	A unit of work	EPC	Function	A step in the process	1
BPMN	Task	A unit of work	EPC	XOR/AND/OR Connector	Logical operators in the process	0
BPMN	Task	A unit of work	EPC	Event	A trigger for the process	0
BPMN	Task	A unit of work	EPC	Control Flow	The sequence of functions	0
BPMN	Task	A unit of work	EPC	Organizational Unit	A major participant in the process	0
BPMN	Gateway	A decision point	EPC	Function	A step in the process	0
BPMN	Gateway	A decision point	EPC	XOR/AND/OR Connector	Logical operators in the process	1
BPMN	Gateway	A decision point	EPC	Event	A trigger for the process	0
BPMN	Gateway	A decision point	EPC	Control Flow	The sequence of functions	0
BPMN	Gateway	A decision point	EPC	Organizational Unit	A major participant in the process	0
BPMN	Event	A trigger for the process	EPC	Function	A step in the process	0
BPMN	Event	A trigger for the process	EPC	XOR/AND/OR Connector	Logical operators in the process	0
BPMN	Event	A trigger for the process	EPC	Event	A trigger for the process	1
BPMN	Event	A trigger for the process	EPC	Control Flow	The sequence of functions	0
BPMN	Event	A trigger for the process	EPC	Organizational Unit	A major participant in the process	0
BPMN	Sequence Flow	The flow between activities	EPC	Function	A step in the process	0
BPMN	Sequence Flow	The flow between activities	EPC	XOR/AND/OR Connector	Logical operators in the process	0
BPMN	Sequence Flow	The flow between activities	EPC	Event	A trigger for the process	0
BPMN	Sequence Flow	The flow between activities	EPC	Control Flow	The sequence of functions	1
BPMN	Sequence Flow	The flow between activities	EPC	Organizational Unit	A major participant in the process	0
BPMN	Pool	A major participant in the process	EPC	Function	A step in the process	0
BPMN	Pool	A major participant in the process	EPC	XOR/AND/OR Connector	Logical operators in the process	0
BPMN	Pool	A major participant in the process	EPC	Event	A trigger for the process	0
BPMN	Pool	A major participant in the process	EPC	Control Flow	The sequence of functions	0
BPMN	Pool	A major participant in the process	EPC	Organizational Unit	A major participant in the process	1
ERD	Entity	Represents a set of attributes	ORM	Object	Represents a concept or thing	1
ERD	Entity	Represents a set of attributes	ORM	Fact	A statement about objects	0
ERD	Entity	Represents a set of attributes	ORM	Role	A function or role in a fact	0
ERD	Entity	Represents a set of attributes	ORM	Subtype	A specialized object	0
ERD	Entity	Represents a set of attributes	ORM	Uniqueness Constraint	A constraint on roles	0
ERD	Attribute	A characteristic of an entity	ORM	Object	Represents a concept or thing	0
ERD	Attribute	A characteristic of an entity	ORM	Fact	A statement about objects	1
ERD	Attribute	A characteristic of an entity	ORM	Role	A function or role in a fact	0
ERD	Attribute	A characteristic of an entity	ORM	Subtype	A specialized object	0
ERD	Attribute	A characteristic of an entity	ORM	Uniqueness Constraint	A constraint on roles	0
ERD	Relationship	A relationship between entities	ORM	Object	Represents a concept or thing	0
ERD	Relationship	A relationship between entities	ORM	Fact	A statement about objects	0
ERD	Relationship	A relationship between entities	ORM	Role	A function or role in a fact	1
ERD	Relationship	A relationship between entities	ORM	Subtype	A specialized object	0
ERD	Relationship	A relationship between entities	ORM	Uniqueness Constraint	A constraint on roles	0
ERD	Supertype	A generalized entity	ORM	Object	Represents a concept or thing	0
ERD	Supertype	A generalized entity	ORM	Fact	A statement about objects	0
ERD	Supertype	A generalized entity	ORM	Role	A function or role in a fact	0
ERD	Supertype	A generalized entity	ORM	Subtype	A specialized object	1
ERD	Supertype	A generalized entity	ORM	Uniqueness Constraint	A constraint on roles	0
ERD	Cardinality	Cardinality of a relationship	ORM	Object	Represents a concept or thing	0
ERD	Cardinality	Cardinality of a relationship	ORM	Fact	A statement about objects	0
ERD	Cardinality	Cardinality of a relationship	ORM	Role	A function or role in a fact	0
ERD	Cardinality	Cardinality of a relationship	ORM	Subtype	A specialized object	0
ERD	Cardinality	Cardinality of a relationship	ORM	Uniqueness Constraint	A constraint on roles	1
UML State Machine Diagram	State	A condition during the life of an object	BPMN	Event	A trigger for a process	1
UML State Machine Diagram	State	A condition during the life of an object	BPMN	Sequence Flow	The flow between activities	0
UML State Machine Diagram	State	A condition during the life of an object	BPMN	Start Event	The starting point of a process	0
UML State Machine Diagram	State	A condition during the life of an object	BPMN	End Event	The end point of a process	0
UML State Machine Diagram	State	A condition during the life of an object	BPMN	Sub-Process	A nested process	0
UML State Machine Diagram	Transition	A change from one state to another	BPMN	Event	A trigger for a process	0
UML State Machine Diagram	Transition	A change from one state to another	BPMN	Sequence Flow	The flow between activities	1
UML State Machine Diagram	Transition	A change from one state to another	BPMN	Start Event	The starting point of a process	0
UML State Machine Diagram	Transition	A change from one state to another	BPMN	End Event	The end point of a process	0
UML State Machine Diagram	Transition	A change from one state to another	BPMN	Sub-Process	A nested process	0
UML State Machine Diagram	Initial State	The starting point of a state machine	BPMN	Event	A trigger for a process	0
UML State Machine Diagram	Initial State	The starting point of a state machine	BPMN	Sequence Flow	The flow between activities	0
UML State Machine Diagram	Initial State	The starting point of a state machine	BPMN	Start Event	The starting point of a process	1
UML State Machine Diagram	Initial State	The starting point of a state machine	BPMN	End Event	The end point of a process	0
UML State Machine Diagram	Initial State	The starting point of a state machine	BPMN	Sub-Process	A nested process	0
UML State Machine Diagram	Final State	The end point of a state machine	BPMN	Event	A trigger for a process	0
UML State Machine Diagram	Final State	The end point of a state machine	BPMN	Sequence Flow	The flow between activities	0
UML State Machine Diagram	Final State	The end point of a state machine	BPMN	Start Event	The starting point of a process	0
UML State Machine Diagram	Final State	The end point of a state machine	BPMN	End Event	The end point of a process	1
UML State Machine Diagram	Final State	The end point of a state machine	BPMN	Sub-Process	A nested process	0
UML State Machine Diagram	Composite State	A state containing sub-states	BPMN	Event	A trigger for a process	0
UML State Machine Diagram	Composite State	A state containing sub-states	BPMN	Sequence Flow	The flow between activities	0
UML State Machine Diagram	Composite State	A state containing sub-states	BPMN	Start Event	The starting point of a process	0
UML State Machine Diagram	Composite State	A state containing sub-states	BPMN	End Event	The end point of a process	0
UML State Machine Diagram	Composite State	A state containing sub-states	BPMN	Sub-Process	A nested process	1
BPMN	Task	A unit of work	SysML Activity Diagram	Action	A step in the activity	1
BPMN	Task	A unit of work	SysML Activity Diagram	Decision Node	A branching point	0
BPMN	Task	A unit of work	SysML Activity Diagram	Activity Final	The end point of an activity	0
BPMN	Task	A unit of work	SysML Activity Diagram	Control Flow	The sequence of actions	0
BPMN	Task	A unit of work	SysML Activity Diagram	Partition	A grouping of actions	0
BPMN	Gateway	A decision point	SysML Activity Diagram	Action	A step in the activity	0
BPMN	Gateway	A decision point	SysML Activity Diagram	Decision Node	A branching point	1
BPMN	Gateway	A decision point	SysML Activity Diagram	Activity Final	The end point of an activity	0
BPMN	Gateway	A decision point	SysML Activity Diagram	Control Flow	The sequence of actions	0
BPMN	Gateway	A decision point	SysML Activity Diagram	Partition	A grouping of actions	0
